BrandID,BrandName,BrandStatus,CreatedAt,ModifiedAt
1,Lenovo,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
2,Dell,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
3,HP,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
4,Apple,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
5,Samsung,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
6,Xiaomi,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
7,OPPO,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
8,realme,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
9,Huawei,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
10,Honor,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
11,ASUS,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
12,Acer,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
13,LG,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
14,Sony,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
15,TCL,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
16,Hisense,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
17,Philips,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
18,Bosch,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
19,Beko,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
20,Fresh,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
21,Tornado,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
22,Midea,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
23,Panasonic,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
24,JBL,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
25,Logitech,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
26,Anker,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
27,Baseus,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
28,TP-Link,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
29,Kingston,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
30,SanDisk,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
