OrderID,CustomerID,StoreID,OrderDateTime,OrderStatus,PaymentMethodCode,OrderTotalAmount,CreatedAt,ModifiedAt
O0000001,C001484,S012,2024-06-11 18:45:24,Completed,CARD,20784.74,2024-06-11 18:45:24,2024-06-11 20:01:24
O0000002,C014379,S001,2025-04-22 21:52:53,Completed,WALLET,79630.79,2025-04-22 21:52:53,2025-04-23 00:23:53
O0000003,C011013,S004,2025-04-15 20:54:27,Completed,CARD,132271.60,2025-04-15 20:54:27,2025-04-15 22:00:27
O0000004,C010980,S008,2026-04-04 10:22:27,Completed,CASH,41078.87,2026-04-04 10:22:27,2026-04-04 11:40:27
O0000005,C005486,S012,2024-07-03 17:03:06,Completed,CARD,55446.17,2024-07-03 17:03:06,2024-07-03 20:03:06
O0000006,C016030,S004,2024-04-19 16:52:40,Completed,WALLET,39838.68,2024-04-19 16:52:40,2024-04-19 17:45:40
O0000007,C018375,S011,2024-09-10 18:43:33,Completed,CASH,12162.55,2024-09-10 18:43:33,2024-09-10 22:00:33
O0000008,C005114,S004,2024-10-11 14:01:01,Completed,CARD,21535.06,2024-10-11 14:01:01,2024-10-11 15:31:01
O0000009,C006863,S012,2024-01-22 21:01:05,Completed,CARD,30143.09,2024-01-22 21:01:05,2024-01-22 21:03:05
O0000010,C011273,S001,2025-07-19 15:32:27,Completed,CARD,58377.83,2025-07-19 15:32:27,2025-07-19 17:07:27
O0000011,C012654,S006,2025-05-27 11:53:58,Completed,CARD,122574.57,2025-05-27 11:53:58,2025-05-27 12:13:58
O0000012,C008745,S003,2024-01-22 18:38:42,Completed,CARD,88865.63,2024-01-22 18:38:42,2024-01-22 18:43:42
O0000013,,S011,2024-01-04 16:37:41,Completed,CARD,103876.31,2024-01-04 16:37:41,2024-01-04 16:44:41
O0000014,,S009,2024-07-03 17:52:01,Completed,CARD,21231.72,2024-07-03 17:52:01,2024-07-03 18:19:01
O0000015,C019801,S007,2025-04-16 16:42:32,Completed,CASH,2916.59,2025-04-16 16:42:32,2025-04-16 18:59:32
O0000016,C015177,S004,2026-04-01 19:52:34,Completed,WALLET,28380.28,2026-04-01 19:52:34,2026-04-01 22:11:34
O0000017,,S012,2025-07-27 15:24:27,Completed,CARD,14238.66,2025-07-27 15:24:27,2025-07-27 16:00:27
O0000018,C007924,S001,2025-04-02 15:22:04,Completed,CASH,277320.96,2025-04-02 15:22:04,2025-04-02 16:10:04
O0000019,C013752,S001,2025-05-15 14:06:54,Completed,INSTALLMENT,154665.69,2025-05-15 14:06:54,2025-05-15 16:44:54
O0000020,C017086,S010,2024-10-14 13:48:21,Completed,CASH,82612.68,2024-10-14 13:48:21,2024-10-14 14:27:21
O0000021,C012554,S003,2024-06-14 17:38:59,Completed,CASH,9878.71,2024-06-14 17:38:59,2024-06-14 20:32:59
O0000022,C008767,S011,2026-01-29 18:06:57,Completed,CARD,16855.14,2026-01-29 18:06:57,2026-01-29 18:39:57
O0000023,,S010,2024-02-18 17:41:25,Completed,WALLET,19036.56,2024-02-18 17:41:25,2024-02-18 18:11:25
O0000024,C005119,S006,2025-05-06 20:37:44,Completed,CARD,28082.15,2025-05-06 20:37:44,2025-05-06 21:58:44
O0000025,C004204,S010,2024-03-18 11:27:02,Completed,INSTALLMENT,14182.24,2024-03-18 11:27:02,2024-03-18 11:32:02
O0000026,C014808,S008,2024-08-03 19:57:14,Completed,CARD,60766.55,2024-08-03 19:57:14,2024-08-03 20:28:14
O0000027,C001378,S004,2025-04-24 12:54:22,Completed,CARD,70849.58,2025-04-24 12:54:22,2025-04-24 15:33:22
O0000028,C010163,S005,2026-02-14 21:18:23,Completed,WALLET,125880.03,2026-02-14 21:18:23,2026-02-14 23:09:23
O0000029,C019202,S007,2024-07-06 17:35:58,Returned,CARD,86654.45,2024-07-06 17:35:58,2024-07-06 17:38:58
O0000030,C019909,S006,2026-04-27 15:41:31,Completed,CARD,43433.81,2026-04-27 15:41:31,2026-04-27 16:59:31
O0000031,C013533,S011,2025-02-23 19:31:15,Completed,CASH,74899.17,2025-02-23 19:31:15,2025-02-23 20:20:15
O0000032,C014434,S008,2024-12-23 20:10:01,Completed,CASH,10597.73,2024-12-23 20:10:01,2024-12-23 22:10:01
O0000033,C018912,S004,2024-07-12 16:06:29,Completed,WALLET,21187.87,2024-07-12 16:06:29,2024-07-12 17:45:29
O0000034,C017994,S012,2024-12-06 15:52:30,Completed,CARD,4919.74,2024-12-06 15:52:30,2024-12-06 17:38:30
O0000035,C007723,S003,2025-05-31 18:19:51,Completed,WALLET,34764.95,2025-05-31 18:19:51,2025-05-31 19:46:51
O0000036,,S002,2025-01-29 13:55:15,Completed,CARD,46419.18,2025-01-29 13:55:15,2025-01-29 16:39:15
O0000037,C010656,S001,2025-04-01 18:47:39,Completed,WALLET,6339.65,2025-04-01 18:47:39,2025-04-01 20:12:39
O0000038,C014466,S003,2026-03-09 20:13:35,Completed,WALLET,71843.70,2026-03-09 20:13:35,2026-03-09 22:31:35
O0000039,C007897,S011,2025-03-08 13:39:27,Completed,INSTALLMENT,52428.87,2025-03-08 13:39:27,2025-03-08 14:32:27
O0000040,C006053,S010,2026-02-28 14:35:57,Completed,CARD,13075.45,2026-02-28 14:35:57,2026-02-28 16:27:57
O0000041,C015124,S011,2024-04-17 18:07:51,Completed,CARD,32201.19,2024-04-17 18:07:51,2024-04-17 18:40:51
O0000042,C005281,S006,2026-07-15 19:10:45,Completed,CASH,25671.70,2026-07-15 19:10:45,2026-07-15 23:03:45
O0000043,C018141,S009,2026-01-15 19:01:39,Completed,CASH,69465.19,2026-01-15 19:01:39,2026-01-15 22:44:39
O0000044,C012512,S004,2024-01-10 20:17:04,Completed,CARD,21108.68,2024-01-10 20:17:04,2024-01-10 21:46:04
O0000045,C003841,S004,2024-04-08 20:55:43,Completed,CARD,113023.07,2024-04-08 20:55:43,2024-04-08 22:49:43
O0000046,C016547,S001,2024-09-11 11:02:28,Completed,CARD,1734.87,2024-09-11 11:02:28,2024-09-11 12:00:28
O0000047,C017338,S005,2024-08-06 14:17:57,Cancelled,CARD,26736.97,2024-08-06 14:17:57,2024-08-06 16:00:57
O0000048,C006872,S012,2024-01-09 20:46:07,Completed,CARD,12144.65,2024-01-09 20:46:07,2024-01-10 00:41:07
O0000049,C013465,S007,2024-03-15 14:49:25,Completed,CARD,32763.81,2024-03-15 14:49:25,2024-03-15 16:41:25
O0000050,C013706,S011,2026-04-26 21:56:08,Completed,CARD,16876.12,2026-04-26 21:56:08,2026-04-27 00:41:08
O0000051,C008697,S006,2024-08-26 15:26:23,Completed,CARD,122678.34,2024-08-26 15:26:23,2024-08-26 16:41:23
O0000052,C011755,S004,2024-09-17 21:26:30,Completed,CARD,9449.95,2024-09-17 21:26:30,2024-09-17 23:00:30
O0000053,C004945,S005,2025-06-26 20:24:25,Completed,CARD,28822.60,2025-06-26 20:24:25,2025-06-26 22:40:25
O0000054,,S012,2026-05-20 15:23:43,Completed,CARD,6453.93,2026-05-20 15:23:43,2026-05-20 17:59:43
O0000055,C003429,S006,2024-12-11 20:40:34,Completed,CASH,3921.16,2024-12-11 20:40:34,2024-12-11 23:00:34
O0000056,C019278,S001,2024-07-21 17:20:19,Completed,CARD,12145.28,2024-07-21 17:20:19,2024-07-21 21:02:19
O0000057,C014079,S003,2025-09-26 21:47:53,Completed,CARD,48138.12,2025-09-26 21:47:53,2025-09-27 00:41:53
O0000058,C009365,S005,2025-02-04 15:41:05,Completed,CARD,8998.70,2025-02-04 15:41:05,2025-02-04 15:54:05
