WarehouseID,ProductID,QuantityOnHand,ReservedQuantity,AvailableQuantity,LastUpdated
WH01,P0001,322,23,299,2026-07-31 23:59:59
WH01,P0002,276,52,224,2026-07-31 23:59:59
WH01,P0003,321,51,270,2026-07-31 23:59:59
WH01,P0004,131,56,75,2026-07-31 23:59:59
WH01,P0005,18,17,1,2026-07-31 23:59:59
WH01,P0006,70,45,25,2026-07-31 23:59:59
WH01,P0007,51,27,24,2026-07-31 23:59:59
WH01,P0008,220,71,149,2026-07-31 23:59:59
WH01,P0009,71,17,54,2026-07-31 23:59:59
WH01,P0010,198,14,184,2026-07-31 23:59:59
WH01,P0011,52,28,24,2026-07-31 23:59:59
WH01,P0012,317,48,269,2026-07-31 23:59:59
WH01,P0013,92,14,78,2026-07-31 23:59:59
WH01,P0014,139,8,131,2026-07-31 23:59:59
WH01,P0015,177,16,161,2026-07-31 23:59:59
WH01,P0016,272,58,214,2026-07-31 23:59:59
WH01,P0017,325,41,284,2026-07-31 23:59:59
WH01,P0018,44,25,19,2026-07-31 23:59:59
WH01,P0019,60,50,10,2026-07-31 23:59:59
WH01,P0020,210,4,206,2026-07-31 23:59:59
WH01,P0021,19,2,17,2026-07-31 23:59:59
WH01,P0022,252,67,185,2026-07-31 23:59:59
WH01,P0023,129,20,109,2026-07-31 23:59:59
WH01,P0024,116,48,68,2026-07-31 23:59:59
WH01,P0025,277,39,238,2026-07-31 23:59:59
WH01,P0026,50,3,47,2026-07-31 23:59:59
WH01,P0027,86,57,29,2026-07-31 23:59:59
WH01,P0028,333,1,332,2026-07-31 23:59:59
WH01,P0029,271,15,256,2026-07-31 23:59:59
WH01,P0030,187,13,174,2026-07-31 23:59:59
WH01,P0031,214,52,162,2026-07-31 23:59:59
WH01,P0032,29,10,19,2026-07-31 23:59:59
WH01,P0033,134,80,54,2026-07-31 23:59:59
WH01,P0034,27,10,17,2026-07-31 23:59:59
WH01,P0035,97,31,66,2026-07-31 23:59:59
WH01,P0036,238,22,216,2026-07-31 23:59:59
WH01,P0037,153,73,80,2026-07-31 23:59:59
WH01,P0038,30,21,9,2026-07-31 23:59:59
