MovementID,WarehouseID,ProductID,MovementType,QuantityChange,MovementDateTime,ReferenceNo,CreatedAt
1,WH01,P0269,TRANSFER_IN,67,2025-05-26 10:24:58,REF979886,2025-05-26 10:24:58
2,WH01,P0255,ISSUE_TO_STORE,-62,2026-05-27 10:38:13,REF648851,2026-05-27 10:38:13
3,WH01,P0132,RECEIPT,8,2025-12-16 18:50:43,REF211945,2025-12-16 18:50:43
4,WH01,P0164,ADJUSTMENT_IN,23,2025-06-06 08:36:06,REF223639,2025-06-06 08:36:06
5,WH01,P0197,RECEIPT,7,2025-03-14 07:17:51,REF688161,2025-03-14 07:17:51
6,WH01,P0306,ISSUE_TO_STORE,-29,2025-02-06 07:24:19,REF523024,2025-02-06 07:24:19
7,WH02,P0245,TRANSFER_IN,63,2026-07-06 15:46:54,REF301061,2026-07-06 15:46:54
8,WH01,P0258,ISSUE_TO_STORE,-54,2025-02-24 04:28:06,REF816898,2025-02-24 04:28:06
9,WH01,P0125,RECEIPT,57,2025-01-15 00:33:43,REF518017,2025-01-15 00:33:43
10,WH01,P0318,RECEIPT,56,2025-07-12 17:06:34,REF825176,2025-07-12 17:06:34
11,WH02,P0178,ISSUE_TO_STORE,-56,2025-01-22 07:14:10,REF229339,2025-01-22 07:14:10
12,WH01,P0232,TRANSFER_OUT,-30,2025-05-29 00:48:51,REF771931,2025-05-29 00:48:51
13,WH01,P0291,RECEIPT,67,2025-08-28 11:20:25,REF996634,2025-08-28 11:20:25
14,WH01,P0240,ADJUSTMENT_OUT,-19,2025-08-07 23:36:52,REF717295,2025-08-07 23:36:52
15,WH01,P0298,TRANSFER_IN,69,2026-04-29 19:54:46,REF220910,2026-04-29 19:54:46
16,WH01,P0159,RECEIPT,8,2026-06-20 02:41:08,REF712054,2026-06-20 02:41:08
17,WH01,P0123,TRANSFER_OUT,-54,2025-06-16 00:50:02,REF255487,2025-06-16 00:50:02
18,WH02,P0032,RETURN_TO_VENDOR,-11,2025-12-01 02:38:44,REF681161,2025-12-01 02:38:44
19,WH01,P0238,TRANSFER_OUT,-3,2026-04-23 11:10:47,REF134184,2026-04-23 11:10:47
20,WH01,P0265,RECEIPT,64,2026-05-15 11:18:15,REF680146,2026-05-15 11:18:15
21,WH01,P0037,TRANSFER_IN,45,2025-03-14 09:21:40,REF155170,2025-03-14 09:21:40
22,WH02,P0254,TRANSFER_IN,17,2026-02-25 03:55:36,REF517233,2026-02-25 03:55:36
23,WH01,P0032,ADJUSTMENT_IN,69,2025-02-11 13:34:02,REF597248,2025-02-11 13:34:02
24,WH01,P0195,TRANSFER_OUT,-68,2026-02-28 11:04:42,REF769257,2026-02-28 11:04:42
25,WH01,P0239,RETURN_TO_VENDOR,-44,2025-06-15 22:59:29,REF828515,2025-06-15 22:59:29
26,WH02,P0224,ISSUE_TO_STORE,-25,2026-07-11 07:21:16,REF972427,2026-07-11 07:21:16
27,WH02,P0228,ISSUE_TO_STORE,-5,2026-02-09 16:15:03,REF720370,2026-02-09 16:15:03
28,WH01,P0256,RECEIPT,24,2025-03-17 21:44:55,REF101187,2025-03-17 21:44:55
29,WH01,P0215,RECEIPT,21,2026-05-01 10:40:10,REF531978,2026-05-01 10:40:10
30,WH01,P0184,RECEIPT,36,2026-03-27 01:01:13,REF347645,2026-03-27 01:01:13
31,WH01,P0122,RECEIPT,55,2026-03-20 11:55:32,REF613642,2026-03-20 11:55:32
32,WH01,P0018,TRANSFER_IN,8,2025-10-04 14:01:15,REF415023,2025-10-04 14:01:15
33,WH02,P0053,ISSUE_TO_STORE,-13,2025-05-05 03:00:20,REF188134,2025-05-05 03:00:20
34,WH01,P0048,TRANSFER_IN,35,2025-07-07 18:56:51,REF940613,2025-07-07 18:56:51
35,WH01,P0128,ISSUE_TO_STORE,-12,2025-09-12 11:54:51,REF987266,2025-09-12 11:54:51
36,WH02,P0067,RECEIPT,35,2026-04-26 09:45:28,REF335040,2026-04-26 09:45:28
37,WH02,P0071,ISSUE_TO_STORE,-27,2026-02-06 19:01:43,REF364029,2026-02-06 19:01:43
38,WH02,P0036,TRANSFER_OUT,-30,2026-05-10 08:46:13,REF307254,2026-05-10 08:46:13
39,WH02,P0192,RECEIPT,64,2025-11-25 20:50:22,REF797604,2025-11-25 20:50:22
40,WH02,P0241,ISSUE_TO_STORE,-7,2025-03-01 10:11:36,REF795456,2025-03-01 10:11:36
41,WH02,P0243,ISSUE_TO_STORE,-40,2026-07-09 16:22:27,REF860427,2026-07-09 16:22:27
42,WH02,P0007,RECEIPT,30,2025-05-22 02:12:59,REF268454,2025-05-22 02:12:59
43,WH02,P0060,RECEIPT,47,2026-03-07 08:09:54,REF207731,2026-03-07 08:09:54
44,WH02,P0175,ISSUE_TO_STORE,-52,2026-03-10 21:27:57,REF686339,2026-03-10 21:27:57
45,WH02,P0224,RECEIPT,65,2025-04-12 06:52:23,REF325036,2025-04-12 06:52:23
46,WH01,P0128,ISSUE_TO_STORE,-9,2026-05-27 15:10:13,REF890875,2026-05-27 15:10:13
47,WH02,P0015,ADJUSTMENT_OUT,-43,2026-01-26 11:56:53,REF772584,2026-01-26 11:56:53
48,WH02,P0198,ADJUSTMENT_OUT,-27,2025-02-15 02:28:15,REF487900,2025-02-15 02:28:15
49,WH01,P0158,ISSUE_TO_STORE,-23,2025-04-04 23:12:32,REF686515,2025-04-04 23:12:32
50,WH01,P0305,TRANSFER_IN,67,2026-02-27 00:37:37,REF312214,2026-02-27 00:37:37
51,WH01,P0131,ISSUE_TO_STORE,-43,2025-10-27 10:55:48,REF192998,2025-10-27 10:55:48
52,WH01,P0186,RETURN_TO_VENDOR,-37,2025-08-09 14:15:11,REF974814,2025-08-09 14:15:11
53,WH01,P0023,ISSUE_TO_STORE,-59,2026-06-22 14:27:01,REF103467,2026-06-22 14:27:01
54,WH01,P0287,RECEIPT,47,2026-02-26 18:10:34,REF256695,2026-02-26 18:10:34
55,WH02,P0022,RECEIPT,67,2025-03-31 20:28:37,REF763966,2025-03-31 20:28:37
56,WH02,P0102,TRANSFER_OUT,-43,2025-04-27 14:36:05,REF379119,2025-04-27 14:36:05
57,WH01,P0247,RETURN_TO_VENDOR,-52,2025-05-25 08:08:20,REF984023,2025-05-25 08:08:20
58,WH02,P0290,RECEIPT,18,2026-04-06 18:14:30,REF827565,2026-04-06 18:14:30
59,WH02,P0081,RECEIPT,39,2025-12-07 15:23:01,REF686399,2025-12-07 15:23:01
60,WH01,P0090,ISSUE_TO_STORE,-13,2025-06-29 10:14:51,REF490981,2025-06-29 10:14:51
61,WH01,P0303,RECEIPT,40,2025-09-05 15:46:46,REF902634,2025-09-05 15:46:46
