PurchaseOrderID,SupplierID,SupplierName,ProductID,OrderDate,ExpectedDeliveryDate,Quantity,UnitCost,POStatus
PO202607260000,SUP006,Smart Devices MENA,P0320,2026-07-26,2026-08-03,82,2209.97,Received
PO202607260000,SUP010,Prime IT Supply,P0283,2026-07-26,2026-08-02,96,408.38,Approved
PO202607260000,SUP014,MegaHome Supply,P0036,2026-07-26,2026-07-31,19,18234.85,Received
PO202607260001,SUP015,Digital Gate,P0064,2026-07-26,2026-08-03,7,2615.01,Received
PO202607260001,SUP011,Global Accessories Egypt,P0260,2026-07-26,2026-08-15,42,3179.77,Received
PO202607260001,SUP015,Digital Gate,P0018,2026-07-26,2026-08-15,11,4365.65,Received
PO202607260002,SUP010,Prime IT Supply,P0109,2026-07-26,2026-08-06,74,56551.47,Open
PO202607260002,SUP012,Canal Trading Co.,P0207,2026-07-26,2026-08-15,52,34351.74,Received
PO202607260002,SUP013,North Coast Distribution,P0255,2026-07-26,2026-08-10,77,23751.93,Received
PO202607260003,SUP015,Digital Gate,P0194,2026-07-26,2026-08-07,43,22525.95,Approved
PO202607260003,SUP010,Prime IT Supply,P0215,2026-07-26,2026-08-06,63,15408.53,Received
PO202607260003,SUP012,Canal Trading Co.,P0058,2026-07-26,2026-07-31,79,12390.75,Open
PO202607260004,SUP010,Prime IT Supply,P0104,2026-07-26,2026-08-08,6,1680.28,Approved
PO202607260004,SUP007,HomeTech Distributors,P0087,2026-07-26,2026-07-28,95,44573.27,Received
PO202607260004,SUP015,Digital Gate,P0221,2026-07-26,2026-08-04,94,44026.57,Received
PO202607260005,SUP001,Tech Distribution Egypt,P0170,2026-07-26,2026-08-13,14,13399.06,Open
PO202607260005,SUP012,Canal Trading Co.,P0304,2026-07-26,2026-08-09,21,5167.09,Received
PO202607260005,SUP013,North Coast Distribution,P0317,2026-07-26,2026-08-15,69,42590.93,Approved
PO202607260006,SUP002,Delta Electronics Supply,P0135,2026-07-26,2026-08-07,97,9313.59,Received
PO202607260006,SUP006,Smart Devices MENA,P0012,2026-07-26,2026-08-03,52,22626.26,Approved
PO202607260006,SUP005,Alex Import & Trade,P0136,2026-07-26,2026-08-01,47,6632.68,Received
PO202607260007,SUP008,Future Appliances,P0075,2026-07-26,2026-07-29,16,6767.83,Received
PO202607260007,SUP001,Tech Distribution Egypt,P0060,2026-07-26,2026-08-13,65,14188.90,Received
PO202607260007,SUP014,MegaHome Supply,P0256,2026-07-26,2026-08-10,33,3475.21,Received
PO202607260008,SUP015,Digital Gate,P0079,2026-07-26,2026-07-29,32,10584.64,Approved
PO202607260008,SUP002,Delta Electronics Supply,P0159,2026-07-26,2026-08-02,7,51582.71,Received
PO202607260008,SUP006,Smart Devices MENA,P0061,2026-07-26,2026-07-31,51,45769.86,Approved
PO202607260009,SUP011,Global Accessories Egypt,P0045,2026-07-26,2026-08-05,49,2799.71,Received
PO202607260009,SUP016,Pioneer Retail Supplies,P0102,2026-07-26,2026-07-31,37,37774.25,Open
PO202607260009,SUP010,Prime IT Supply,P0281,2026-07-26,2026-08-15,35,3191.23,Approved
PO202607260010,SUP007,HomeTech Distributors,P0184,2026-07-26,2026-08-12,66,5338.03,Received
PO202607260010,SUP004,Cairo Digital Trading,P0140,2026-07-26,2026-07-29,64,3086.01,Received
PO202607260010,SUP018,United Consumer Tech,P0086,2026-07-26,2026-08-12,114,18075.44,Approved
PO202607260011,SUP018,United Consumer Tech,P0077,2026-07-26,2026-07-31,118,47092.61,Approved
PO202607260011,SUP011,Global Accessories Egypt,P0046,2026-07-26,2026-08-14,118,15907.36,Received
PO202607260011,SUP015,Digital Gate,P0251,2026-07-26,2026-07-30,25,29114.36,Open
PO202607260012,SUP003,Nile Retail Supply,P0076,2026-07-26,2026-08-09,41,5235.85,Approved
PO202607260012,SUP003,Nile Retail Supply,P0267,2026-07-26,2026-07-30,116,2948.43,Received
PO202607260012,SUP014,MegaHome Supply,P0075,2026-07-26,2026-08-07,37,7279.87,Received
PO202607260013,SUP004,Cairo Digital Trading,P0156,2026-07-26,2026-08-13,76,32884.23,Approved
PO202607260013,SUP016,Pioneer Retail Supplies,P0140,2026-07-26,2026-08-05,19,3199.69,Received
PO202607260013,SUP012,Canal Trading Co.,P0177,2026-07-26,2026-07-29,106,62690.79,Received
PO202607260014,SUP013,North Coast Distribution,P0245,2026-07-26,2026-08-06,21,11884.00,Received
PO202607260014,SUP003,Nile Retail Supply,P0312,2026-07-26,2026-08-13,11,699.82,Partial
PO202607260014,SUP006,Smart Devices MENA,P0309,2026-07-26,2026-08-08,53,4620.57,Approved
PO202607260015,SUP008,Future Appliances,P0102,2026-07-26,2026-07-29,39,35809.33,Approved
PO202607260015,SUP014,MegaHome Supply,P0009,2026-07-26,2026-07-28,73,54175.00,Approved
PO202607260015,SUP008,Future Appliances,P0059,2026-07-26,2026-08-11,117,32634.47,Received
PO202607260016,SUP001,Tech Distribution Egypt,P0050,2026-07-26,2026-08-12,42,11689.31,Received
PO202607260016,SUP008,Future Appliances,P0028,2026-07-26,2026-07-28,39,10239.38,Received
PO202607260016,SUP014,MegaHome Supply,P0053,2026-07-26,2026-07-31,67,25424.13,Partial
PO202607260017,SUP001,Tech Distribution Egypt,P0192,2026-07-26,2026-08-15,32,983.63,Partial
PO202607260017,SUP010,Prime IT Supply,P0303,2026-07-26,2026-08-10,108,12362.42,Received
