OrderLineID,OrderID,ProductID,Quantity,UnitPrice,UnitCostAtSale,DiscountAmount,CreatedAt,ModifiedAt
1,O0000001,P0010,1,23094.16,16661.80,2309.42,2024-06-11 18:45:24,2024-06-11 21:36:24
2,O0000002,P0079,1,11412.38,9230.52,0.00,2025-04-22 21:52:53,2025-04-22 22:08:53
3,O0000002,P0014,3,22739.47,18524.23,0.00,2025-04-22 21:52:53,2025-04-22 22:22:53
4,O0000003,P0170,4,16681.20,12309.10,6672.48,2025-04-15 20:54:27,2025-04-15 23:51:27
5,O0000003,P0197,1,11361.80,9833.85,0.00,2025-04-15 20:54:27,2025-04-15 21:35:27
6,O0000003,P0317,1,60857.48,41001.35,0.00,2025-04-15 20:54:27,2025-04-15 21:14:27
7,O0000004,P0022,1,5403.71,3914.42,0.00,2026-04-04 10:22:27,2026-04-04 12:07:27
8,O0000004,P0082,1,35675.16,28516.71,0.00,2026-04-04 10:22:27,2026-04-04 12:09:27
9,O0000005,P0081,1,34068.58,27191.84,1703.43,2024-07-03 17:03:06,2024-07-03 18:26:06
10,O0000005,P0154,1,17575.29,12338.53,2636.29,2024-07-03 17:03:06,2024-07-03 17:31:06
11,O0000005,P0099,1,8142.02,5867.36,0.00,2024-07-03 17:03:06,2024-07-03 19:36:06
12,O0000006,P0266,2,19919.34,15021.62,0.00,2024-04-19 16:52:40,2024-04-19 17:05:40
13,O0000007,P0196,3,1721.70,1567.82,0.00,2024-09-10 18:43:33,2024-09-10 21:27:33
14,O0000007,P0075,1,6997.45,6041.70,0.00,2024-09-10 18:43:33,2024-09-10 18:54:33
15,O0000008,P0035,2,11025.24,8931.92,4410.10,2024-10-11 14:01:01,2024-10-11 16:14:01
16,O0000008,P0240,1,4327.42,3419.91,432.74,2024-10-11 14:01:01,2024-10-11 16:47:01
17,O0000009,P0127,1,15930.07,12657.41,796.50,2024-01-22 21:01:05,2024-01-22 21:06:05
18,O0000009,P0018,4,4169.31,3534.15,1667.72,2024-01-22 21:01:05,2024-01-22 21:44:05
19,O0000010,P0191,3,20483.45,15403.05,3072.52,2025-07-19 15:32:27,2025-07-19 18:06:27
20,O0000011,P0130,3,40858.19,30919.36,0.00,2025-05-27 11:53:58,2025-05-27 12:12:58
21,O0000012,P0010,4,21758.94,15436.46,13055.36,2024-01-22 18:38:42,2024-01-22 21:05:42
22,O0000012,P0235,1,2147.93,1641.30,0.00,2024-01-22 18:38:42,2024-01-22 19:20:42
23,O0000012,P0026,1,12737.30,10243.42,0.00,2024-01-22 18:38:42,2024-01-22 20:27:42
24,O0000013,P0120,1,2356.68,1960.66,0.00,2024-01-04 16:37:41,2024-01-04 17:05:41
25,O0000013,P0181,2,27246.28,20833.31,5449.26,2024-01-04 16:37:41,2024-01-04 18:37:41
26,O0000013,P0227,1,13754.94,11862.97,0.00,2024-01-04 16:37:41,2024-01-04 18:13:41
27,O0000013,P0207,1,38721.39,27801.18,0.00,2024-01-04 16:37:41,2024-01-04 19:21:41
28,O0000014,P0218,3,7077.24,6176.80,0.00,2024-07-03 17:52:01,2024-07-03 19:17:01
29,O0000015,P0119,1,2916.59,1999.60,0.00,2025-04-16 16:42:32,2025-04-16 18:15:32
30,O0000016,P0162,2,14190.14,11957.74,0.00,2026-04-01 19:52:34,2026-04-01 21:02:34
31,O0000017,P0268,2,7119.33,6014.58,0.00,2025-07-27 15:24:27,2025-07-27 15:31:27
32,O0000018,P0150,1,32760.56,27650.55,0.00,2025-04-02 15:22:04,2025-04-02 16:49:04
33,O0000018,P0301,3,62287.36,52446.11,0.00,2025-04-02 15:22:04,2025-04-02 17:37:04
34,O0000018,P0276,2,28849.16,24187.21,0.00,2025-04-02 15:22:04,2025-04-02 18:00:04
35,O0000019,P0044,2,222.72,172.99,0.00,2025-05-15 14:06:54,2025-05-15 15:36:54
36,O0000019,P0108,3,11208.75,8678.53,6725.25,2025-05-15 14:06:54,2025-05-15 15:20:54
