PaymentID,OrderID,PaymentMethod,PaymentAmount,PaymentStatus,PaymentDateTime,CreatedAt,ModifiedAt
1,O0000001,CARD,20784.74,Paid,2024-06-11 18:58:24,2024-06-11 18:45:24,2024-06-11 20:01:24
2,O0000002,WALLET,59317.80,Paid,2025-04-22 22:01:53,2025-04-22 21:52:53,2025-04-23 00:23:53
3,O0000002,CARD,20312.99,Paid,2025-04-22 22:05:53,2025-04-22 21:52:53,2025-04-23 00:23:53
4,O0000003,CARD,132271.60,Paid,2025-04-15 21:01:27,2025-04-15 20:54:27,2025-04-15 22:00:27
5,O0000004,CASH,41078.87,Paid,2026-04-04 10:28:27,2026-04-04 10:22:27,2026-04-04 11:40:27
6,O0000005,CARD,55446.17,Paid,2024-07-03 17:14:06,2024-07-03 17:03:06,2024-07-03 20:03:06
7,O0000006,WALLET,39838.68,Paid,2024-04-19 16:56:40,2024-04-19 16:52:40,2024-04-19 17:45:40
8,O0000007,WALLET,5982.17,Paid,2024-09-10 18:48:33,2024-09-10 18:43:33,2024-09-10 22:00:33
9,O0000007,CASH,6180.38,Paid,2024-09-10 18:54:33,2024-09-10 18:43:33,2024-09-10 22:00:33
10,O0000008,CARD,21535.06,Paid,2024-10-11 14:06:01,2024-10-11 14:01:01,2024-10-11 15:31:01
11,O0000009,CARD,30143.09,Paid,2024-01-22 21:10:05,2024-01-22 21:01:05,2024-01-22 21:03:05
12,O0000010,CARD,58377.83,Paid,2025-07-19 15:46:27,2025-07-19 15:32:27,2025-07-19 17:07:27
13,O0000011,CARD,122574.57,Paid,2025-05-27 12:02:58,2025-05-27 11:53:58,2025-05-27 12:13:58
14,O0000012,CARD,88865.63,Paid,2024-01-22 18:50:42,2024-01-22 18:38:42,2024-01-22 18:43:42
15,O0000013,CARD,103876.31,Paid,2024-01-04 16:42:41,2024-01-04 16:37:41,2024-01-04 16:44:41
16,O0000014,CARD,21231.72,Paid,2024-07-03 17:54:01,2024-07-03 17:52:01,2024-07-03 18:19:01
17,O0000015,CASH,2916.59,Paid,2025-04-16 16:53:32,2025-04-16 16:42:32,2025-04-16 18:59:32
18,O0000016,WALLET,28380.28,Paid,2026-04-01 19:57:34,2026-04-01 19:52:34,2026-04-01 22:11:34
19,O0000017,CARD,14238.66,Paid,2025-07-27 15:28:27,2025-07-27 15:24:27,2025-07-27 16:00:27
20,O0000018,CASH,277320.96,Paid,2025-04-02 15:28:04,2025-04-02 15:22:04,2025-04-02 16:10:04
21,O0000019,CASH,47106.94,Paid,2025-05-15 14:25:54,2025-05-15 14:06:54,2025-05-15 16:44:54
22,O0000019,CARD,107558.75,Paid,2025-05-15 14:20:54,2025-05-15 14:06:54,2025-05-15 16:44:54
23,O0000020,CASH,82612.68,Paid,2024-10-14 14:02:21,2024-10-14 13:48:21,2024-10-14 14:27:21
24,O0000021,CASH,9878.71,Paid,2024-06-14 17:49:59,2024-06-14 17:38:59,2024-06-14 20:32:59
25,O0000022,CARD,16855.14,Paid,2026-01-29 18:08:57,2026-01-29 18:06:57,2026-01-29 18:39:57
26,O0000023,WALLET,19036.56,Paid,2024-02-18 17:52:25,2024-02-18 17:41:25,2024-02-18 18:11:25
27,O0000024,CARD,28082.15,Paid,2025-05-06 20:51:44,2025-05-06 20:37:44,2025-05-06 21:58:44
28,O0000025,INSTALLMENT,14182.24,Paid,2024-03-18 11:30:02,2024-03-18 11:27:02,2024-03-18 11:32:02
