SubcategoryID,CategoryID,SubcategoryName,SubcategoryStatus,CreatedAt,ModifiedAt
101,1,Laptops,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
102,1,Monitors,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
103,1,Storage,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
104,1,Networking,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
105,2,Smartphones,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
106,2,Tablets,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
107,2,Smartwatches,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
108,2,Feature Phones,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
109,3,Refrigerators,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
110,3,Washing Machines,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
111,3,Air Conditioners,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
112,3,Cookers,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
113,4,Televisions,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
114,4,Sound Systems,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
115,4,Gaming,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
116,4,Streaming Devices,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
117,5,Keyboards & Mice,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
118,5,Headphones,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
119,5,Chargers & Cables,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
120,5,Bags & Cases,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
121,6,Blenders,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
122,6,Coffee Machines,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
123,6,Vacuum Cleaners,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
124,6,Irons,Active,2021-01-01 00:00:00,2026-07-31 23:59:59
